nohup: ignoring input
Using config: Namespace(trial_name='simclr_trial', model_name='sim_clr', data_path='/data/amathur-23/ROB313', temperature=0.07, learning_rate=0.001, batch_size=16, epochs=30, early_stopping_patience=5, early_stopping_threshold=0.001, log_dir='./runs', model_save_path='/data/amathur-23/ROB313/models', gpu_id=0, seed=42, test_freq=5, pretrained=True, weight_decay=0.0001, train_backbone=True)
Loading meta file: /data/amathur-23/ROB313/train_unlabeled.csv
Using ResNet50 with 2048 FC input features
Start SimCLR training for 30 epochs.

Epoch: [0/30] (287/1891), Average loss: 1.7975, lr: 0.0010
Epoch: [0/30] (288/1891), Average loss: 1.7962, lr: 0.0010
Epoch: [0/30] (289/1891), Average loss: 1.7948, lr: 0.0010
Epoch: [0/30] (290/1891), Average loss: 1.7915, lr: 0.0010
Epoch: [0/30] (291/1891), Average loss: 1.7911, lr: 0.0010
Epoch: [0/30] (292/1891), Average loss: 1.7890, lr: 0.0010
Epoch: [0/30] (293/1891), Average loss: 1.7868, lr: 0.0010
Epoch: [0/30] (294/1891), Average loss: 1.7848, lr: 0.0010
Epoch: [0/30] (295/1891), Average loss: 1.7848, lr: 0.0010
Epoch: [0/30] (296/1891), Average loss: 1.7825, lr: 0.0010
Epoch: [0/30] (297/1891), Average loss: 1.7829, lr: 0.0010
Epoch: [0/30] (298/1891), Average loss: 1.7811, lr: 0.0010
Epoch: [0/30] (299/1891), Average loss: 1.7802, lr: 0.0010
Epoch: [0/30] (300/1891), Average loss: 1.7810, lr: 0.0010
Epoch: [0/30] (301/1891), Average loss: 1.7802, lr: 0.0010
Epoch: [0/30] (302/1891), Average loss: 1.7774, lr: 0.0010
Epoch: [0/30] (303/1891), Average loss: 1.7746, lr: 0.0010
Epoch: [0/30] (304/1891), Average loss: 1.7733, lr: 0.0010
Epoch: [0/30] (305/1891), Average loss: 1.7713, lr: 0.0010
Epoch: [0/30] (306/1891), Average loss: 1.7682, lr: 0.0010
Epoch: [0/30] (307/1891), Average loss: 1.7651, lr: 0.0010
Epoch: [0/30] (308/1891), Average loss: 1.7633, lr: 0.0010
Epoch: [0/30] (309/1891), Average loss: 1.7606, lr: 0.0010
Epoch: [0/30] (310/1891), Average loss: 1.7574, lr: 0.0010
Epoch: [0/30] (311/1891), Average loss: 1.7532, lr: 0.0010
Epoch: [0/30] (312/1891), Average loss: 1.7541, lr: 0.0010
Epoch: [0/30] (313/1891), Average loss: 1.7511, lr: 0.0010
Epoch: [0/30] (314/1891), Average loss: 1.7509, lr: 0.0010
Epoch: [0/30] (315/1891), Average loss: 1.7474, lr: 0.0010
Epoch: [0/30] (316/1891), Average loss: 1.7462, lr: 0.0010
Epoch: [0/30] (317/1891), Average loss: 1.7461, lr: 0.0010
Epoch: [0/30] (318/1891), Average loss: 1.7438, lr: 0.0010
Epoch: [0/30] (319/1891), Average loss: 1.7407, lr: 0.0010
Epoch: [0/30] (320/1891), Average loss: 1.7406, lr: 0.0010
Epoch: [0/30] (321/1891), Average loss: 1.7389, lr: 0.0010
Epoch: [0/30] (322/1891), Average loss: 1.7379, lr: 0.0010
Epoch: [0/30] (323/1891), Average loss: 1.7359, lr: 0.0010
Epoch: [0/30] (324/1891), Average loss: 1.7340, lr: 0.0010
Epoch: [0/30] (325/1891), Average loss: 1.7305, lr: 0.0010
Epoch: [0/30] (326/1891), Average loss: 1.7289, lr: 0.0010
Epoch: [0/30] (327/1891), Average loss: 1.7272, lr: 0.0010
Epoch: [0/30] (328/1891), Average loss: 1.7238, lr: 0.0010
Epoch: [0/30] (329/1891), Average loss: 1.7207, lr: 0.0010
Epoch: [0/30] (330/1891), Average loss: 1.7187, lr: 0.0010
Epoch: [0/30] (331/1891), Average loss: 1.7175, lr: 0.0010
Epoch: [0/30] (332/1891), Average loss: 1.7172, lr: 0.0010
Epoch: [0/30] (333/1891), Average loss: 1.7145, lr: 0.0010
Epoch: [0/30] (334/1891), Average loss: 1.7118, lr: 0.0010
Epoch: [0/30] (335/1891), Average loss: 1.7095, lr: 0.0010
Epoch: [0/30] (336/1891), Average loss: 1.7081, lr: 0.0010
Epoch: [0/30] (337/1891), Average loss: 1.7066, lr: 0.0010
Epoch: [0/30] (338/1891), Average loss: 1.7057, lr: 0.0010
Epoch: [0/30] (339/1891), Average loss: 1.7032, lr: 0.0010
Epoch: [0/30] (340/1891), Average loss: 1.7018, lr: 0.0010
Epoch: [0/30] (341/1891), Average loss: 1.7022, lr: 0.0010
Epoch: [0/30] (342/1891), Average loss: 1.7024, lr: 0.0010
Epoch: [0/30] (343/1891), Average loss: 1.7041, lr: 0.0010
Epoch: [0/30] (344/1891), Average loss: 1.7032, lr: 0.0010
Epoch: [0/30] (345/1891), Average loss: 1.7040, lr: 0.0010
Epoch: [0/30] (346/1891), Average loss: 1.7053, lr: 0.0010
Epoch: [0/30] (347/1891), Average loss: 1.7062, lr: 0.0010
Epoch: [0/30] (348/1891), Average loss: 1.7038, lr: 0.0010
Epoch: [0/30] (349/1891), Average loss: 1.7024, lr: 0.0010
Epoch: [0/30] (350/1891), Average loss: 1.7005, lr: 0.0010
Epoch: [0/30] (351/1891), Average loss: 1.6998, lr: 0.0010
Epoch: [0/30] (352/1891), Average loss: 1.6981, lr: 0.0010
Epoch: [0/30] (353/1891), Average loss: 1.6968, lr: 0.0010
Epoch: [0/30] (354/1891), Average loss: 1.6949, lr: 0.0010
Epoch: [0/30] (355/1891), Average loss: 1.6943, lr: 0.0010
Epoch: [0/30] (356/1891), Average loss: 1.6934, lr: 0.0010
Epoch: [0/30] (357/1891), Average loss: 1.6909, lr: 0.0010
Epoch: [0/30] (358/1891), Average loss: 1.6884, lr: 0.0010
